,id,deviceid,speed,lead_speed,servertime,attributes
74,35328124,11,0.0,0.0,2018-04-01 14:01:35,"{""event"":35,""sat"":11,""hdop"":0.8,""odometer"":123262168,""runtime"":""61999603"",""status"":""0200"",""adc1"":0,""adc2"":752,""adc3"":0,""battery"":2615,""power"":955,""eventData"":""00000001"",""fuel"":24.23,""distance"":0.48,""totalDistance"":3.618456712E7,""ip"":""43.245.8.22"",""motion"":false,""ignition"":false}"
75,35328126,45,0.0,0.0,2018-04-01 14:01:35,"{""power"":12.89,""distance"":0.0,""totalDistance"":2.112244976E7,""ip"":""43.245.8.102"",""motion"":false,""ignition"":false}"
76,35328129,190,0.0,0.0,2018-04-01 14:01:36,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":95995663,""runtime"":""74099602"",""status"":""0000"",""adc1"":10,""adc2"":0,""adc3"":0,""battery"":2618,""power"":992,""distance"":0.0,""totalDistance"":1.231472053E7,""ip"":""43.245.8.52"",""motion"":false,""ignition"":false}"
77,35328134,197,0.0,0.0,2018-04-01 14:01:38,"{""event"":35,""sat"":10,""hdop"":0.8,""odometer"":26277925,""runtime"":""73901853"",""status"":""0000"",""adc1"":13,""adc2"":0,""adc3"":0,""battery"":2654,""power"":938,""distance"":0.0,""totalDistance"":6602876.73,""ip"":""43.245.8.103"",""motion"":false}"
78,35328135,28,0.0,0.0,2018-04-01 14:01:38,"{""status"":4,""ignition"":false,""charge"":true,""blocked"":false,""battery"":6,""rssi"":4,""distance"":0.0,""totalDistance"":2.988315131E7,""ip"":""43.245.8.27"",""motion"":false}"
79,35328136,247,0.0,0.0,2018-04-01 14:01:39,"{""sat"":10,""ignition"":true,""event"":4,""archive"":false,""distance"":26.87,""totalDistance"":3.023154885E7,""ip"":""119.160.96.217"",""motion"":false}"
80,35328137,45,0.0,0.0,2018-04-01 14:01:39,"{""status"":5,""ignition"":false,""charge"":true,""blocked"":false,""battery"":6,""rssi"":4,""distance"":0.0,""totalDistance"":2.112244976E7,""ip"":""43.245.8.102"",""motion"":false}"
81,35328138,182,0.0,0.0,2018-04-01 14:01:39,"{""event"":35,""sat"":10,""hdop"":1.1,""odometer"":33728764,""runtime"":""73166142"",""status"":""0000"",""adc1"":22,""adc2"":0,""adc3"":0,""battery"":2659,""power"":976,""distance"":0.0,""totalDistance"":5631159.31,""ip"":""43.245.8.10"",""motion"":false,""ignition"":false}"
82,35328143,283,0.0,0.0,2018-04-01 14:01:43,"{""event"":35,""sat"":10,""hdop"":1.0,""odometer"":1335655,""runtime"":""1140221"",""status"":""0000"",""adc1"":7,""adc2"":6,""adc3"":0,""battery"":2587,""power"":971,""eventData"":""00000001"",""fuel"":0.0,""distance"":0.59,""totalDistance"":2078942.26,""ip"":""103.228.156.8"",""motion"":false,""ignition"":false}"
83,35328146,49,0.0,0.0,2018-04-01 14:01:46,"{""power"":12.77,""distance"":0.0,""totalDistance"":9881271.26,""ip"":""119.160.65.165"",""motion"":false,""ignition"":false}"
84,35328148,198,0.0,0.0,2018-04-01 14:01:46,"{""event"":35,""sat"":11,""hdop"":0.7,""odometer"":43250034,""runtime"":""76347116"",""status"":""0000"",""adc1"":33,""adc2"":0,""adc3"":0,""battery"":2663,""power"":973,""distance"":0.0,""totalDistance"":9655096.05,""ip"":""103.228.156.86"",""motion"":false,""ignition"":false}"
85,35328152,74,0.0,0.0,2018-04-01 14:01:48,"{""power"":12.66,""distance"":0.0,""totalDistance"":4.541135277E7,""ip"":""119.160.65.121"",""motion"":false,""ignition"":false}"
86,35328157,62,0.0,0.0,2018-04-01 14:01:49,"{""sat"":10,""ignition"":true,""event"":4,""archive"":true,""distance"":46.71,""totalDistance"":3.332407741E7,""ip"":""43.245.8.53"",""motion"":false}"
